Jump,retOpen,Returns(120mins),Returns(90mins),Returns(60mins),Returns(30mins),Returns(15mins),ATR,EndBars,Target
1.005564,-0.789997,-0.119999,-0.099998,0.037502,0.0625,0.0425,0.728466,13,0
1.005564,-0.754997,-0.064999,-0.079998,0.1175,0.077499,0.035,0.728466,12,0
1.005564,-0.794998,-0.105,0.032501,0.057499,-0.005001,-0.040001,0.728466,11,0
1.005564,-0.82,-0.145,0.052498,0.012497,-0.065002,-0.025002,0.728466,10,0
1.005564,-0.894997,-0.067497,-0.0425,-0.105,-0.099998,-0.074997,0.728466,9,1
1.005564,-0.857498,0.014999,-0.025002,-0.102501,-0.037498,0.037498,0.728466,8,0
1.005564,-0.892498,-0.040001,-0.102501,-0.0975,0.002499,-0.035,0.728466,7,1
1.005564,-0.849998,-0.017502,-0.095001,-0.029999,0.0075,0.0425,0.728466,6,0
1.005564,-0.84,-0.050003,-0.045002,0.054996,0.052498,0.009998,0.728466,5,0
1.005564,-0.949997,-0.195,-0.129997,-0.092499,-0.099998,-0.109997,0.728466,4,2
1.005564,-0.962498,-0.1675,-0.067501,-0.07,-0.122498,-0.012501,0.728466,3,2
1.005564,-0.924999,-0.105,-0.067501,-0.075001,0.024998,0.037498,0.728466,2,2
1.005564,-0.965,-0.070004,-0.072502,-0.125,-0.002502,-0.040001,0.793849,1,2
0.997638,-0.107502,-0.099998,-0.137501,0.040001,0.017498,-0.002499,0.793849,24,4
0.997638,-0.125,-0.147499,0.015003,0.015003,-0.019997,-0.017498,0.793849,23,4
0.997638,0.134998,0.105,0.282501,0.259998,0.2425,0.259998,0.793849,22,1
0.997638,0.134998,0.275002,0.275002,0.240002,0.259998,0,0.793849,21,1
0.997638,0.239998,0.387501,0.364998,0.3475,0.105,0.105,0.793849,20,0
0.997638,0.369999,0.510002,0.475002,0.494999,0.235001,0.130001,0.793849,19,0
0.997638,0.419998,0.544998,0.5275,0.285,0.18,0.049999,0.793849,18,0
0.997638,0.559998,0.665001,0.684998,0.424999,0.189999,0.139999,0.793849,17,0
0.997638,0.2925,0.400002,0.157501,0.052502,-0.127499,-0.267498,0.793849,16,0
0.997638,0.2775,0.4025,0.142502,-0.092499,-0.282497,-0.014999,0.793849,15,0
0.997638,0.217499,0.0825,-0.022499,-0.202499,-0.075001,-0.060001,0.793849,14,0
0.997638,0.137497,0.002499,-0.232502,-0.422501,-0.140003,-0.080002,0.793849,13,1
0.997638,0.215,-0.024998,-0.204998,-0.077499,-0.002499,0.077503,0.793849,12,0
0.997638,0.174999,-0.195,-0.384998,-0.102501,0.037502,-0.040001,0.793849,11,0
0.997638,0.119999,-0.299999,-0.172501,-0.0975,-0.095001,-0.055,0.793849,10,1
